regional_indicator,embedding_x,embedding_y
Sub-Saharan Africa,-27.779564,-9.911887
Sub-Saharan Africa,-20.615278,13.562295
Sub-Saharan Africa,-27.869184,50.107784
Sub-Saharan Africa,-42.14731,19.109322
Sub-Saharan Africa,-1.6456228,-30.635073
Sub-Saharan Africa,-34.846584,-41.34467
Sub-Saharan Africa,28.833706,42.34088
Sub-Saharan Africa,-0.14048393,-64.7923
Sub-Saharan Africa,9.94303,19.150032
Sub-Saharan Africa,-64.09212,-2.0003426
Sub-Saharan Africa,4.316479,51.99106
Sub-Saharan Africa,33.857883,-36.007133
Sub-Saharan Africa,10.738248,-5.579584
Sub-Saharan Africa,67.85578,-5.882291
Western Europe,52.0605,15.451311
Western Europe,-22.4324,-12.458866
Western Europe,-22.743725,48.044468
Western Europe,-41.782738,25.482122
Western Europe,2.6893017,-27.039913
Western Europe,-31.093489,-35.757584
Western Europe,34.677326,38.810497
Western Europe,-1.9683331,-57.92267
Western Europe,3.266116,19.369127
Western Europe,-57.998577,-7.0116053
Western Europe,-1.4208012,53.36848
Western Europe,28.653261,-31.217556
Western Europe,17.690556,-3.2899966
Western Europe,60.989502,-7.2062197
Latin America and Caribbean,41.329147,8.648258
Latin America and Caribbean,-24.055666,-9.981473
Latin America and Caribbean,-19.64421,9.437004
Latin America and Caribbean,-28.41051,45.54467
Latin America and Caribbean,-45.531837,21.858782
Latin America and Caribbean,-3.640324,-27.434917
Latin America and Caribbean,-29.943325,-42.112488
Latin America and Caribbean,28.34936,36.16654
Latin America and Caribbean,3.9406705,-60.373745
Latin America and Caribbean,5.5686293,14.726503
Latin America and Caribbean,-58.087257,-0.9828698
Latin America and Caribbean,1.5493965,47.26788
Latin America and Caribbean,34.58502,-31.30469
Latin America and Caribbean,16.084927,-7.9227366
Sub-Saharan Africa,0.2621166,-32.416595
Sub-Saharan Africa,-37.014915,-40.792103
Sub-Saharan Africa,29.417257,43.837543
Sub-Saharan Africa,-0.8542142,-65.47146
Sub-Saharan Africa,11.483557,19.608782
Sub-Saharan Africa,-64.78272,-2.2389069
Sub-Saharan Africa,4.871505,54.467655
Sub-Saharan Africa,32.791004,-39.007713
Sub-Saharan Africa,8.90863,-5.9339204
Latin America and Caribbean,36.001255,6.485654
Latin America and Caribbean,-19.28364,16.203808
Latin America and Caribbean,-38.83287,19.947834
Latin America and Caribbean,1.2415797,-33.61061
Latin America and Caribbean,-37.271233,-41.859924
Latin America and Caribbean,29.870186,44.24806
Latin America and Caribbean,-1.9143229,-65.867065
Latin America and Caribbean,11.399793,21.918722
Latin America and Caribbean,-66.09849,-3.5190535
Latin America and Caribbean,3.8418632,55.65289
