regional_indicator,embedding_x,embedding_y
Western Europe,-4.9189706,30.061504
Western Europe,-3.1718519,29.318766
Western Europe,-3.66183,36.302017
Western Europe,-4.49734,37.063263
Sub-Saharan Africa,44.125626,33.67065
Sub-Saharan Africa,44.628635,32.74656
Sub-Saharan Africa,37.48328,35.647068
Sub-Saharan Africa,37.44111,35.401505
Sub-Saharan Africa,56.47893,11.980478
Sub-Saharan Africa,53.209484,7.5444546
Sub-Saharan Africa,53.695766,11.725903
Sub-Saharan Africa,53.944893,11.311732
Sub-Saharan Africa,52.74866,11.666714
Sub-Saharan Africa,50.564384,10.269186
Sub-Saharan Africa,49.347023,10.201032
Sub-Saharan Africa,47.501923,9.365526
Sub-Saharan Africa,45.424614,9.874781
Sub-Saharan Africa,44.80254,9.653395
Sub-Saharan Africa,43.271507,9.766569
Western Europe,-57.452293,11.256364
Western Europe,-54.001247,8.98498
Western Europe,-54.988804,8.636798
Western Europe,-54.671665,26.307951
Western Europe,-52.388832,27.342999
Western Europe,-52.20561,27.394938
Western Europe,-51.28102,26.568573
Western Europe,-51.312862,26.467907
Western Europe,-54.80712,9.346877
Western Europe,-51.26225,26.554007
Western Europe,-52.205605,27.395826
Western Europe,-55.041443,8.630659
Western Europe,-54.753357,8.262336
Western Europe,-52.17613,25.731136
Latin America and Caribbean,-20.180016,-13.560703
Latin America and Caribbean,-20.109112,-13.407994
Latin America and Caribbean,-19.650757,-13.2136755
Latin America and Caribbean,-19.677029,-13.16483
Latin America and Caribbean,-19.829792,-12.995194
Latin America and Caribbean,-32.125134,-6.725117
Latin America and Caribbean,-34.910564,-6.3705997
Latin America and Caribbean,-36.117935,-6.2622046
Latin America and Caribbean,-36.449295,-6.0087028
Latin America and Caribbean,-36.225376,-6.2231307
Latin America and Caribbean,-35.406845,-6.649116
Latin America and Caribbean,-0.7862674,5.2694716
Latin America and Caribbean,-36.20713,-7.449057
Latin America and Caribbean,-0.76845276,5.2797856
Sub-Saharan Africa,32.329533,38.623764
Sub-Saharan Africa,30.297968,40.445522
Sub-Saharan Africa,29.303719,38.051792
Sub-Saharan Africa,33.97614,25.684093
Sub-Saharan Africa,32.01763,38.447407
Sub-Saharan Africa,36.659027,24.466215
Sub-Saharan Africa,34.05945,25.51426
Sub-Saharan Africa,34.162395,25.099121
Sub-Saharan Africa,38.173817,22.96385
Latin America and Caribbean,49.02044,3.6385279
Latin America and Caribbean,50.501045,3.4611747
Latin America and Caribbean,12.806658,53.481144
Latin America and Caribbean,50.692715,3.416622
Latin America and Caribbean,49.099068,4.6080084
Latin America and Caribbean,56.919067,17.233936
Latin America and Caribbean,49.00538,4.752047
Latin America and Caribbean,48.967022,3.648649
Latin America and Caribbean,56.91255,17.231499
Latin America and Caribbean,56.90158,17.206554
Latin America and Caribbean,56.870094,17.080025
Latin America and Caribbean,-20.658564,-11.3631935
Latin America and Caribbean,-17.828821,-10.037322
